Program Version:,EnergyPlus, Version 8.9.0-30f4ebd739, YMD=2018.05.22 11:03
Tabular Output Report in Format: ,Comma

Building:,Building
Environment:,INOVO TEST (01-05:20-06) ** GLASGOW-AP - GBR Custom-031400 WMO#=031400

----------------------------------------------------------------------------------------------------
REPORT:,Lighting Summary
FOR:,Entire Facility
Interior Lighting

,,Zone,Lighting Power Density [W/m2],Zone Area [m2],Total Power [W],End Use Subcategory,Schedule Name,Scheduled Hours/Week [hr],Hours/Week > 1% [hr],Full Load Hours/Week [hr],Return Air Fraction,Conditioned (Y/N),Consumption [kWh]
,02FFE:OFFICEXNEXLED GENERAL LIGHTING,02FFE:OFFICEXNEXLED,15.7895,11.42,180.33,ELECTRIC EQUIPMENT#02FFE:OfficeXNEXLED#GeneralLights,OFFICE_OPENOFF_LIGHT,60.07,60.67,6.38,0.0000,Y,5.92
,02FFE:OFFICEXE GENERAL LIGHTING,02FFE:OFFICEXE,7.3684,175.99,1296.76,ELECTRIC EQUIPMENT#02FFE:OfficeXE#GeneralLights,OFFICE_OPENOFF_LIGHT,60.07,60.67,60.61,0.0000,Y,404.24
,02FFE:OFFICEXMEETXSE GENERAL LIGHTING,02FFE:OFFICEXMEETXSE,7.3684,18.08,133.25,ELECTRIC EQUIPMENT#02FFE:OfficeXMeetXSE#GeneralLights,OFFICE_OPENOFF_LIGHT,60.07,60.67,60.64,0.0000,Y,41.55
,02FFE:OFFICEXMEETXSSE GENERAL LIGHTING,02FFE:OFFICEXMEETXSSE,7.3684,10.84,79.86,ELECTRIC EQUIPMENT#02FFE:OfficeXMeetXSSE#GeneralLights,OFFICE_OPENOFF_LIGHT,60.07,60.67,60.67,0.0000,Y,24.92
,02FFE:OFFICEXMEETXSSEXLED GENERAL LIGHTING,02FFE:OFFICEXMEETXSSEXLED,15.7895,3.82,60.27,ELECTRIC EQUIPMENT#02FFE:OfficeXMeetXSSEXLED#GeneralLights,OFFICE_OPENOFF_LIGHT,60.07,60.67,60.53,0.0000,Y,18.76
,02FFE:OFFICEXNE GENERAL LIGHTING,02FFE:OFFICEXNE,7.3684,27.17,200.22,ELECTRIC EQUIPMENT#02FFE:OfficeXNE#GeneralLights,OFFICE_OPENOFF_LIGHT,60.07,60.67,60.67,0.0000,Y,62.47
,02FFE:OFFICEXN GENERAL LIGHTING,02FFE:OFFICEXN,7.3684,91.26,672.44,ELECTRIC EQUIPMENT#02FFE:OfficeXN#GeneralLights,OFFICE_OPENOFF_LIGHT,60.07,60.67,6.07,0.0000,Y,20.98
,02FFE:OFFICEXMEETXSEXLED GENERAL LIGHTING,02FFE:OFFICEXMEETXSEXLED,15.7895,6.50,102.67,ELECTRIC EQUIPMENT#02FFE:OfficeXMeetXSEXLED#GeneralLights,OFFICE_OPENOFF_LIGHT,60.07,60.67,60.30,0.0000,Y,31.84
,Interior Lighting Total,,7.8990,345.08,2725.80,,,,,,,,610.68


Daylighting

,,Zone,Control Name,Daylighting Method,Control Type,Fraction Controlled,Lighting Installed in Zone [W],Lighting Controlled [W]
,02FFE:OFFICEXNEXLED REF POINT 1,02FFE:OFFICEXNEXLED,02FFE:OFFICEXNEXLED,SplitFlux,Continuous,1.00,180.33,180.33
,02FFE:OFFICEXE REF POINT 1,02FFE:OFFICEXE,02FFE:OFFICEXE,SplitFlux,Continuous,1.00,1296.76,1296.76
,02FFE:OFFICEXMEETXSE REF POINT 1,02FFE:OFFICEXMEETXSE,02FFE:OFFICEXMEETXSE,SplitFlux,Continuous,1.00,133.25,133.25
,02FFE:OFFICEXMEETXSSE REF POINT 1,02FFE:OFFICEXMEETXSSE,02FFE:OFFICEXMEETXSSE,SplitFlux,Continuous,1.00,79.86,79.86
,02FFE:OFFICEXMEETXSSEXLED REF POINT 1,02FFE:OFFICEXMEETXSSEXLED,02FFE:OFFICEXMEETXSSEXLED,SplitFlux,Continuous,1.00,60.27,60.27
,02FFE:OFFICEXNE REF POINT 1,02FFE:OFFICEXNE,02FFE:OFFICEXNE,SplitFlux,Continuous,1.00,200.22,200.22
,02FFE:OFFICEXN REF POINT 1,02FFE:OFFICEXN,02FFE:OFFICEXN,SplitFlux,Continuous,1.00,672.44,672.44
,02FFE:OFFICEXMEETXSEXLED REF POINT 1,02FFE:OFFICEXMEETXSEXLED,02FFE:OFFICEXMEETXSEXLED,SplitFlux,Continuous,1.00,102.67,102.67


Exterior Lighting

,,Total Watts,Astronomical Clock/Schedule,Schedule Name,Scheduled Hours/Week [hr],Hours/Week > 1% [hr],Full Load Hours/Week [hr],Consumption [kWh]
,Exterior Lighting Total,0.00,,,,,,0.00


----------------------------------------------------------------------------------------------------
REPORT:,Energy Meters
FOR:,Entire Facility
Annual and Peak Values - Electricity

,,Electricity Annual Value [kWh],Electricity Minimum Value [W],Timestamp of Minimum {TIMESTAMP},Electricity Maximum Value [W],Timestamp of Maximum {TIMESTAMP}
,Electricity:Facility,2098.75,219.08,15-MAY-00:03,6068.29,18-MAY-06:03
,Electricity:Building,2098.75,219.08,15-MAY-00:03,6068.29,18-MAY-06:03
,Electricity:Zone:02FFE:OFFICEXNEXLED,55.17,7.25,15-MAY-00:03,201.79,18-MAY-06:03
,InteriorLights:Electricity,610.68,0.00,15-MAY-00:03,2006.65,18-MAY-06:03
,InteriorLights:Electricity:Zone:02FFE:OFFICEXNEXLED,5.92,0.00,15-MAY-00:03,67.37,18-MAY-06:03
,ELECTRIC EQUIPMENT#02FFE:OfficeXNEXLED#GeneralLights:InteriorLights:Electricity,5.92,0.00,15-MAY-00:03,67.37,18-MAY-06:03
,Electricity:Zone:02FFE:OFFICEXE,1163.14,111.73,15-MAY-00:03,3367.53,15-MAY-06:03
,InteriorLights:Electricity:Zone:02FFE:OFFICEXE,404.24,0.00,15-MAY-00:03,1296.13,15-MAY-06:03
,ELECTRIC EQUIPMENT#02FFE:OfficeXE#GeneralLights:InteriorLights:Electricity,404.24,0.00,15-MAY-00:03,1296.13,15-MAY-06:03
,Electricity:Zone:02FFE:OFFICEXMEETXSE,119.53,11.48,15-MAY-00:03,346.07,15-MAY-06:03
,InteriorLights:Electricity:Zone:02FFE:OFFICEXMEETXSE,41.55,0.00,15-MAY-00:03,133.22,15-MAY-06:03
,ELECTRIC EQUIPMENT#02FFE:OfficeXMeetXSE#GeneralLights:InteriorLights:Electricity,41.55,0.00,15-MAY-00:03,133.22,15-MAY-06:03
,Electricity:Zone:02FFE:OFFICEXMEETXSSE,71.65,6.88,15-MAY-00:03,207.43,15-MAY-07:00
,InteriorLights:Electricity:Zone:02FFE:OFFICEXMEETXSSE,24.92,0.00,15-MAY-00:03,79.86,15-MAY-07:00
,ELECTRIC EQUIPMENT#02FFE:OfficeXMeetXSSE#GeneralLights:InteriorLights:Electricity,24.92,0.00,15-MAY-00:03,79.86,15-MAY-07:00
,Electricity:Zone:02FFE:OFFICEXMEETXSSEXLED,35.22,2.42,15-MAY-00:03,105.14,15-MAY-06:03
,InteriorLights:Electricity:Zone:02FFE:OFFICEXMEETXSSEXLED,18.76,0.00,15-MAY-00:03,60.22,15-MAY-06:03
,ELECTRIC EQUIPMENT#02FFE:OfficeXMeetXSSEXLED#GeneralLights:InteriorLights:Electricity,18.76,0.00,15-MAY-00:03,60.22,15-MAY-06:03
,Electricity:Zone:02FFE:OFFICEXNE,179.64,17.25,15-MAY-00:03,520.03,15-MAY-06:03
,InteriorLights:Electricity:Zone:02FFE:OFFICEXNE,62.47,0.00,15-MAY-00:03,200.22,15-MAY-06:03
,ELECTRIC EQUIPMENT#02FFE:OfficeXNE#GeneralLights:InteriorLights:Electricity,62.47,0.00,15-MAY-00:03,200.22,15-MAY-06:03
,Electricity:Zone:02FFE:OFFICEXN,414.51,57.94,15-MAY-00:03,1141.37,15-MAY-06:03
,InteriorLights:Electricity:Zone:02FFE:OFFICEXN,20.98,0.00,15-MAY-00:03,67.24,15-MAY-06:03
,ELECTRIC EQUIPMENT#02FFE:OfficeXN#GeneralLights:InteriorLights:Electricity,20.98,0.00,15-MAY-00:03,67.24,15-MAY-06:03
,Electricity:Zone:02FFE:OFFICEXMEETXSEXLED,59.88,4.13,15-MAY-00:03,178.98,15-MAY-06:03
,InteriorLights:Electricity:Zone:02FFE:OFFICEXMEETXSEXLED,31.84,0.00,15-MAY-00:03,102.44,15-MAY-06:03
,ELECTRIC EQUIPMENT#02FFE:OfficeXMeetXSEXLED#GeneralLights:InteriorLights:Electricity,31.84,0.00,15-MAY-00:03,102.44,15-MAY-06:03
,InteriorEquipment:Electricity,1488.07,219.08,15-MAY-00:03,4061.64,15-MAY-06:03
,InteriorEquipment:Electricity:Zone:02FFE:OFFICEXNEXLED,49.25,7.25,15-MAY-00:03,134.43,15-MAY-06:03
,ELECTRIC EQUIPMENT#02FFE:OfficeXNEXLED#05:InteriorEquipment:Electricity,49.25,7.25,15-MAY-00:03,134.43,15-MAY-06:03
,InteriorEquipment:Electricity:Zone:02FFE:OFFICEXE,758.90,111.73,15-MAY-00:03,2071.40,15-MAY-06:03
,ELECTRIC EQUIPMENT#02FFE:OfficeXE#05:InteriorEquipment:Electricity,758.90,111.73,15-MAY-00:03,2071.40,15-MAY-06:03
,InteriorEquipment:Electricity:Zone:02FFE:OFFICEXMEETXSE,77.98,11.48,15-MAY-00:03,212.84,15-MAY-06:03
,ELECTRIC EQUIPMENT#02FFE:OfficeXMeetXSE#05:InteriorEquipment:Electricity,77.98,11.48,15-MAY-00:03,212.84,15-MAY-06:03
,InteriorEquipment:Electricity:Zone:02FFE:OFFICEXMEETXSSE,46.74,6.88,15-MAY-00:03,127.57,15-MAY-06:03
,ELECTRIC EQUIPMENT#02FFE:OfficeXMeetXSSE#05:InteriorEquipment:Electricity,46.74,6.88,15-MAY-00:03,127.57,15-MAY-06:03
