Program Version:,EnergyPlus, Version 8.9.0-30f4ebd739, YMD=2018.05.22 11:03
Tabular Output Report in Format: ,Comma

Building:,Building
Environment:,INOVO TEST (01-05:20-06) ** GLASGOW-AP - GBR Custom-031400 WMO#=031400

----------------------------------------------------------------------------------------------------
REPORT:,Lighting Summary
FOR:,Entire Facility
Interior Lighting

,,Zone,Lighting Power Density [W/m2],Zone Area [m2],Total Power [W],End Use Subcategory,Schedule Name,Scheduled Hours/Week [hr],Hours/Week > 1% [hr],Full Load Hours/Week [hr],Return Air Fraction,Conditioned (Y/N),Consumption [kWh]
,02FFE:OFFICEXNEXLED GENERAL LIGHTING,02FFE:OFFICEXNEXLED,14.7368,11.42,168.31,ELECTRIC EQUIPMENT#02FFE:OfficeXNEXLED#GeneralLights,OFFICE_OPENOFF_LIGHT,60.07,60.67,6.38,0.0000,Y,5.53
,02FFE:OFFICEXE GENERAL LIGHTING,02FFE:OFFICEXE,10.5263,175.99,1852.52,ELECTRIC EQUIPMENT#02FFE:OfficeXE#GeneralLights,OFFICE_OPENOFF_LIGHT,60.07,60.67,60.61,0.0000,Y,577.49
,02FFE:OFFICEXMEETXSE GENERAL LIGHTING,02FFE:OFFICEXMEETXSE,10.5263,18.08,190.35,ELECTRIC EQUIPMENT#02FFE:OfficeXMeetXSE#GeneralLights,OFFICE_OPENOFF_LIGHT,60.07,60.67,60.64,0.0000,Y,59.36
,02FFE:OFFICEXMEETXSSE GENERAL LIGHTING,02FFE:OFFICEXMEETXSSE,10.5263,10.84,114.09,ELECTRIC EQUIPMENT#02FFE:OfficeXMeetXSSE#GeneralLights,OFFICE_OPENOFF_LIGHT,60.07,60.67,60.67,0.0000,Y,35.60
,02FFE:OFFICEXMEETXSSEXLED GENERAL LIGHTING,02FFE:OFFICEXMEETXSSEXLED,14.7368,3.82,56.25,ELECTRIC EQUIPMENT#02FFE:OfficeXMeetXSSEXLED#GeneralLights,OFFICE_OPENOFF_LIGHT,60.07,60.67,60.53,0.0000,Y,17.51
,02FFE:OFFICEXNE GENERAL LIGHTING,02FFE:OFFICEXNE,10.5263,27.17,286.02,ELECTRIC EQUIPMENT#02FFE:OfficeXNE#GeneralLights,OFFICE_OPENOFF_LIGHT,60.07,60.67,60.67,0.0000,Y,89.24
,02FFE:OFFICEXN GENERAL LIGHTING,02FFE:OFFICEXN,10.5263,91.26,960.63,ELECTRIC EQUIPMENT#02FFE:OfficeXN#GeneralLights,OFFICE_OPENOFF_LIGHT,60.07,60.67,6.07,0.0000,Y,29.97
,02FFE:OFFICEXMEETXSEXLED GENERAL LIGHTING,02FFE:OFFICEXMEETXSEXLED,14.7368,6.50,95.83,ELECTRIC EQUIPMENT#02FFE:OfficeXMeetXSEXLED#GeneralLights,OFFICE_OPENOFF_LIGHT,60.07,60.67,60.30,0.0000,Y,29.72
,Interior Lighting Total,,10.7916,345.08,3724.00,,,,,,,,844.41


Daylighting

,,Zone,Control Name,Daylighting Method,Control Type,Fraction Controlled,Lighting Installed in Zone [W],Lighting Controlled [W]
,02FFE:OFFICEXNEXLED REF POINT 1,02FFE:OFFICEXNEXLED,02FFE:OFFICEXNEXLED,SplitFlux,Continuous,1.00,168.31,168.31
,02FFE:OFFICEXE REF POINT 1,02FFE:OFFICEXE,02FFE:OFFICEXE,SplitFlux,Continuous,1.00,1852.52,1852.52
,02FFE:OFFICEXMEETXSE REF POINT 1,02FFE:OFFICEXMEETXSE,02FFE:OFFICEXMEETXSE,SplitFlux,Continuous,1.00,190.35,190.35
,02FFE:OFFICEXMEETXSSE REF POINT 1,02FFE:OFFICEXMEETXSSE,02FFE:OFFICEXMEETXSSE,SplitFlux,Continuous,1.00,114.09,114.09
,02FFE:OFFICEXMEETXSSEXLED REF POINT 1,02FFE:OFFICEXMEETXSSEXLED,02FFE:OFFICEXMEETXSSEXLED,SplitFlux,Continuous,1.00,56.25,56.25
,02FFE:OFFICEXNE REF POINT 1,02FFE:OFFICEXNE,02FFE:OFFICEXNE,SplitFlux,Continuous,1.00,286.02,286.02
,02FFE:OFFICEXN REF POINT 1,02FFE:OFFICEXN,02FFE:OFFICEXN,SplitFlux,Continuous,1.00,960.63,960.63
,02FFE:OFFICEXMEETXSEXLED REF POINT 1,02FFE:OFFICEXMEETXSEXLED,02FFE:OFFICEXMEETXSEXLED,SplitFlux,Continuous,1.00,95.83,95.83


Exterior Lighting

,,Total Watts,Astronomical Clock/Schedule,Schedule Name,Scheduled Hours/Week [hr],Hours/Week > 1% [hr],Full Load Hours/Week [hr],Consumption [kWh]
,Exterior Lighting Total,0.00,,,,,,0.00


----------------------------------------------------------------------------------------------------
REPORT:,Energy Meters
FOR:,Entire Facility
Annual and Peak Values - Electricity

,,Electricity Annual Value [kWh],Electricity Minimum Value [W],Timestamp of Minimum {TIMESTAMP},Electricity Maximum Value [W],Timestamp of Maximum {TIMESTAMP}
,Electricity:Facility,2332.48,219.08,15-MAY-00:03,6814.37,18-MAY-06:03
,Electricity:Building,2332.48,219.08,15-MAY-00:03,6814.37,18-MAY-06:03
,Electricity:Zone:02FFE:OFFICEXNEXLED,54.78,7.25,15-MAY-00:03,197.30,18-MAY-06:03
,InteriorLights:Electricity,844.41,0.00,15-MAY-00:03,2752.73,18-MAY-06:03
,InteriorLights:Electricity:Zone:02FFE:OFFICEXNEXLED,5.53,0.00,15-MAY-00:03,62.87,18-MAY-06:03
,ELECTRIC EQUIPMENT#02FFE:OfficeXNEXLED#GeneralLights:InteriorLights:Electricity,5.53,0.00,15-MAY-00:03,62.87,18-MAY-06:03
,Electricity:Zone:02FFE:OFFICEXE,1336.39,111.73,15-MAY-00:03,3923.02,15-MAY-06:03
,InteriorLights:Electricity:Zone:02FFE:OFFICEXE,577.49,0.00,15-MAY-00:03,1851.62,15-MAY-06:03
,ELECTRIC EQUIPMENT#02FFE:OfficeXE#GeneralLights:InteriorLights:Electricity,577.49,0.00,15-MAY-00:03,1851.62,15-MAY-06:03
,Electricity:Zone:02FFE:OFFICEXMEETXSE,137.34,11.48,15-MAY-00:03,403.16,15-MAY-06:03
,InteriorLights:Electricity:Zone:02FFE:OFFICEXMEETXSE,59.36,0.00,15-MAY-00:03,190.32,15-MAY-06:03
,ELECTRIC EQUIPMENT#02FFE:OfficeXMeetXSE#GeneralLights:InteriorLights:Electricity,59.36,0.00,15-MAY-00:03,190.32,15-MAY-06:03
,Electricity:Zone:02FFE:OFFICEXMEETXSSE,82.33,6.88,15-MAY-00:03,241.65,15-MAY-07:00
,InteriorLights:Electricity:Zone:02FFE:OFFICEXMEETXSSE,35.60,0.00,15-MAY-00:03,114.09,15-MAY-07:00
,ELECTRIC EQUIPMENT#02FFE:OfficeXMeetXSSE#GeneralLights:InteriorLights:Electricity,35.60,0.00,15-MAY-00:03,114.09,15-MAY-07:00
,Electricity:Zone:02FFE:OFFICEXMEETXSSEXLED,33.97,2.42,15-MAY-00:03,101.13,15-MAY-06:03
,InteriorLights:Electricity:Zone:02FFE:OFFICEXMEETXSSEXLED,17.51,0.00,15-MAY-00:03,56.20,15-MAY-06:03
,ELECTRIC EQUIPMENT#02FFE:OfficeXMeetXSSEXLED#GeneralLights:InteriorLights:Electricity,17.51,0.00,15-MAY-00:03,56.20,15-MAY-06:03
,Electricity:Zone:02FFE:OFFICEXNE,206.41,17.25,15-MAY-00:03,605.84,15-MAY-06:03
,InteriorLights:Electricity:Zone:02FFE:OFFICEXNE,89.24,0.00,15-MAY-00:03,286.02,15-MAY-06:03
,ELECTRIC EQUIPMENT#02FFE:OfficeXNE#GeneralLights:InteriorLights:Electricity,89.24,0.00,15-MAY-00:03,286.02,15-MAY-06:03
,Electricity:Zone:02FFE:OFFICEXN,423.50,57.94,15-MAY-00:03,1170.19,15-MAY-06:03
,InteriorLights:Electricity:Zone:02FFE:OFFICEXN,29.97,0.00,15-MAY-00:03,96.06,15-MAY-06:03
,ELECTRIC EQUIPMENT#02FFE:OfficeXN#GeneralLights:InteriorLights:Electricity,29.97,0.00,15-MAY-00:03,96.06,15-MAY-06:03
,Electricity:Zone:02FFE:OFFICEXMEETXSEXLED,57.76,4.13,15-MAY-00:03,172.15,15-MAY-06:03
,InteriorLights:Electricity:Zone:02FFE:OFFICEXMEETXSEXLED,29.72,0.00,15-MAY-00:03,95.61,15-MAY-06:03
,ELECTRIC EQUIPMENT#02FFE:OfficeXMeetXSEXLED#GeneralLights:InteriorLights:Electricity,29.72,0.00,15-MAY-00:03,95.61,15-MAY-06:03
,InteriorEquipment:Electricity,1488.07,219.08,15-MAY-00:03,4061.64,15-MAY-06:03
,InteriorEquipment:Electricity:Zone:02FFE:OFFICEXNEXLED,49.25,7.25,15-MAY-00:03,134.43,15-MAY-06:03
,ELECTRIC EQUIPMENT#02FFE:OfficeXNEXLED#05:InteriorEquipment:Electricity,49.25,7.25,15-MAY-00:03,134.43,15-MAY-06:03
,InteriorEquipment:Electricity:Zone:02FFE:OFFICEXE,758.90,111.73,15-MAY-00:03,2071.40,15-MAY-06:03
,ELECTRIC EQUIPMENT#02FFE:OfficeXE#05:InteriorEquipment:Electricity,758.90,111.73,15-MAY-00:03,2071.40,15-MAY-06:03
,InteriorEquipment:Electricity:Zone:02FFE:OFFICEXMEETXSE,77.98,11.48,15-MAY-00:03,212.84,15-MAY-06:03
,ELECTRIC EQUIPMENT#02FFE:OfficeXMeetXSE#05:InteriorEquipment:Electricity,77.98,11.48,15-MAY-00:03,212.84,15-MAY-06:03
,InteriorEquipment:Electricity:Zone:02FFE:OFFICEXMEETXSSE,46.74,6.88,15-MAY-00:03,127.57,15-MAY-06:03
,ELECTRIC EQUIPMENT#02FFE:OfficeXMeetXSSE#05:InteriorEquipment:Electricity,46.74,6.88,15-MAY-00:03,127.57,15-MAY-06:03
